board,trajectories,evaluations,best_move
"8| . . . . . . k .
7| r . . . n p b p
6| . . . p . n P .
5| . . p P p . B .
4| . . . . P . P .
3| . q N . . P . .
2| . P Q . . . . .
1| . . K R . . . R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 24","['b3b8 g6f7 g8f8 c1d2 a7b7', 'b3b6 g6f7 g8f8 c1d2 a7a8', 'b3b4 g6f7 g8f8 c3b1 c5c4']","['3.26 (centipawns)', '4.07 (centipawns)', '4.02 (centipawns)']",b3b8
"8| . . . . k . . r
7| . . p . b p p p
6| . . . q . n . .
5| . p . . R . . .
4| . . . p . . . .
3| . . . . . . N .
2| . P P P . P P P
1| . . B Q . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- Castling rights: Black can castle kingside.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 19","['d1e1 g7g6 d2d3 f6d7 e5b5', 'd1e2 d4d3 c2d3 g7g6 d3d4', 'e5b5 e8g8 d2d3 d6a6 b5e5']","['1.51 (centipawns)', '1.06 (centipawns)', '0.91 (centipawns)']",d1e1
"8| . . . . . . . .
7| p . r . . k . .
6| . . . . . p . .
5| . R P . . r p p
4| . P . R . . . .
3| . . . . . . . P
2| . . . . K . P .
1| . . . . B . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 39","['c7e7 e2d2 h5h4 e1h4 g5h4', 'a7a6 b5a5 c7e7 e2d2 f5e5']","['3.90 (centipawns)', '5.15 (centipawns)']",c7e7
"8| . . . . . . . R
7| . . . . . . . .
6| . . k r . p . .
5| . . . p . P . .
4| . . p K . . . .
3| . . P . . . . .
2| . . . . . . P P
1| . . . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 3
- Fullmove number: 43","['c6b7 h8f8 d6a6 g2g4 a6a2', 'd6d7 h8f8 d7h7 f8f6 c6d7', 'c6b6 h8f8 d6d7 f8f6 b6c7']","['5.33 (centipawns)', '5.35 (centipawns)', '5.72 (centipawns)']",c6b7
"8| r . b q k b . r
7| p p . . p p p p
6| . . n p . n . .
5| . . p . . . . .
4| . . . . P . . .
3| . B N . . N . .
2| P P P P . P P P
1| R . B Q K . . R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside, Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 3
- Fullmove number: 5","['c8g4 h2h3 g4f3 d1f3 c6d4', 'a7a6 e1g1 c8g4 h2h3 g4f3', 'g7g6 d2d4 c5d4 f3d4 f8g7', 'c6d4 b3a4 c8d7 a4d7 d8d7']","['0.04 (centipawns)', '0.13 (centipawns)', '0.09 (centipawns)', '0.05 (centipawns)']",c8g4
"8| r . . . k b . r
7| p . p b q . . p
6| . . B . p n p .
5| . . . . . p . .
4| . . . P . . . .
3| . . N . B . . .
2| P P P . . P P P
1| R . . Q . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- Castling rights: Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 12",['c6a8 h7h5 d4d5 e6e5 d5d6'],['5.87 (centipawns)'],c6a8
"8| . . . . . . . .
7| . . . . . . . .
6| . . . . . k . .
5| . . . . . . P .
4| . . . . . . . R
3| . . . . . . . P
2| . . . . . . . .
1| . . B . . N K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 56","['f6f5 h4a4 f5g6 h3h4 g6f5', 'f6g6 f1g3 g6f7 h4f4 f7e7', 'f6f7 h4f4 f7e6 g5g6 e6d5', 'f6e6 h4f4 e6d5 g5g6 d5d6']","['Mate in 11', 'Mate in 10', 'Mate in 8', 'Mate in 8']",f6f5
"8| . . . b . r k .
7| p . . . . p p .
6| . . B . . n . p
5| . N . p . . . .
4| . . . P . . b .
3| . . . K . . Q .
2| P . P B . P P P
1| . . . . . q . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 5
- Fullmove number: 21",['d3c3 d8a5 c3b3 a5d2 b5a3'],['-10.17 (centipawns)'],d3c3
"8| r n b q . r k .
7| . p . . b p p .
6| . . . . p n . p
5| . N . p . . . .
4| . . . . . . . .
3| . . . . P . . .
2| . . P P N P P P
1| . R B Q K B . R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: White can castle kingside.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 11","['b8c6 e2g3 g7g6 f2f4 d5d4', 'e6e5 e2g3 b8c6 f1e2 c8e6', 'c8d7 e2g3 a8a5 b5d4 e6e5', 'a8a5 e2g3 c8d7 c1b2 d7b5']","['-0.33 (centipawns)', '-0.33 (centipawns)', '-0.36 (centipawns)', '-0.27 (centipawns)']",b8c6
"8| r n b q k . . r
7| p p p . b p p p
6| . . . p . n . .
5| . . . . p . . .
4| . . B . P . . .
3| . . . . . N . .
2| P P P P . P P P
1| R N B Q . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- Castling rights: Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 4
- Fullmove number: 5","['f1e1 c7c5 b1c3 b8c6 d2d3', 'b1c3 c7c5 d2d3 b8c6 a2a4', 'd2d3 e8g8 b1c3 c7c5 c1d2', 'd2d4 e5d4 f1e1 c8g4 d1d4']","['0.16 (centipawns)', '0.18 (centipawns)', '0.23 (centipawns)', '0.07 (centipawns)']",f1e1
"8| . . . . . Q n k
7| . p . . . . p p
6| p q p P r . . .
5| . . . . . . . .
4| . . . . p P . .
3| . . . . . . P .
2| P P . . b . K P
1| R . . R . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 3
- Fullmove number: 25",['d6d7 e2f3 g2f1 b6b5 f1g1'],['-0.58 (centipawns)'],d6d7
"8| r n b q k b . r
7| p p . . . p p p
6| . . . . p n . .
5| . . . p . . . .
4| . . . p . . . .
3| . . N . P N . .
2| P P P B . P P P
1| R . . Q K B . R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside, Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 6","['e3d4 b8c6 f1d3 c8d7 e1g1', 'f1b5 c8d7 b5d7 b8d7 e3d4']","['0.22 (centipawns)', '-0.21 (centipawns)']",e3d4
"8| r . . . . . . .
7| . p p . . . b .
6| . . k . B q . .
5| . . . . . . . .
4| p . . n . . . .
3| . . . Q . P . .
2| P P . . . . P .
1| . K R . R . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 3
- Fullmove number: 25",['c6b6 d3c4 c7c6 c4c5 b6c7'],['3.13 (centipawns)'],c6b6
"8| r . b . k b . r
7| p . p . . p p p
6| . . p . . q . .
5| . . . . N . . .
4| . . . . p . . .
3| . . . . . . . .
2| P P P P . P P P
1| R . B Q K . . R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside, Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 9","['d2d4 f8d6 e1g1 e8g8 c1e3', 'e5c4 c8e6 d1e2 f6d4 c4e3']","['-0.27 (centipawns)', '-1.10 (centipawns)']",d2d4
"8| . . . . . . . r
7| p . . . . k p p
6| . . . b p n . .
5| . N . . . . . .
4| . . p . P P . .
3| . . . q . . . .
2| P P . . N . P P
1| R . Q . . K . R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 4
- Fullmove number: 16","['d6c5 c1c3 f6g4 c3d3 c4d3', 'd6b4 c1d1 b4d2 d1b1 h8b8', 'd6e7 c1c3 d3e4 c3e5 e4d5']","['4.00 (centipawns)', '4.02 (centipawns)', '4.61 (centipawns)']",d6c5
"8| . . k . . . . b
7| . p p . . . . p
6| p . p . . . . .
5| P . . . . . . .
4| . . . . q . . .
3| . . P . B b P .
2| . P . . . P . P
1| R . . . Q . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 27","['e4f5 e3f4 h8f6 e1e8 f6d8', 'e4g4 e3f4 h8f6 e1e8 f6d8', 'h8f6 e3f4 f3e2 e1d2 e2h5', 'f3h1 e1f1 h1f3 a1e1 e4f5']","['4.81 (centipawns)', '5.05 (centipawns)', '5.03 (centipawns)', '5.05 (centipawns)']",e4f5
"8| r n b q k b . r
7| p p p . p p p p
6| . . . p . n . .
5| . . . . P . . .
4| . . . . . . . .
3| . . . . . N . .
2| P P P P . P P P
1| R N B Q K B . R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside, Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 3","['d6e5 f3e5 b8d7 e5c4 b7b5', 'f6d5 c2c4 d5b6 e5d6 e7d6']","['-0.29 (centipawns)', '0.53 (centipawns)']",d6e5
"8| r n b q . . . r
7| . p p k . . . .
6| . . . . p . . .
5| b . . p P p . p
4| P . . P . . . .
3| . . P . . N Q .
2| . . . . . . P P
1| R N B . K . . R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 16","['e1g1 b7b6 c1g5 d8e8 f1c1', 'h2h4 b7b6 e1g1 c8a6 f1f2', 'c1g5 d8e8 e1g1 b7b6 f1c1']","['0.92 (centipawns)', '1.12 (centipawns)', '0.94 (centipawns)']",e1g1
