board,trajectories,evaluations,best_move
"8| . . k r . . . r
7| p p . q . p p .
6| . . p . n . . .
5| . . . p P . . p
4| P . . . n . . .
3| . Q P . . P P .
2| . P . B P . K P
1| R N . . . R . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 18","['h5h4 g3g4 e4g3 f1e1 d7c7', 'e4d2 b1d2 h5h4 f3f4 h4g3', 'e4c5 b3c2 d7c7 b2b4 h5h4']","['1.64 (centipawns)', '0.78 (centipawns)', '0.78 (centipawns)']",h5h4
"8| r . . . . r k .
7| p b . n q . . p
6| . p p . p b p .
5| . . . . . . . .
4| . . . P N . . .
3| . . P . . N . .
2| P P . . Q . P P
1| R . B . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 4
- Fullmove number: 18","['c1f4 e6e5 e4f6 f8f6 f4g5', 'a1b1 c6c5 e4f6 d7f6 c1h6', 'e4f6 d7f6 c1h6 f6h5 h6f8', 'e2c4 g8g7 c1f4 e6e5 f4g3']","['3.50 (centipawns)', '3.06 (centipawns)', '3.70 (centipawns)', '2.48 (centipawns)']",c1f4
"8| . . . . . r k .
7| . Q . . . p p .
6| p . . p . . . p
5| . p . . . . . .
4| . . P . . . . .
3| . . q . . . . P
2| . . . . . P P .
1| . . . R . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 27","['c4b5 c3c2 d1a1 a6b5 b7b5', 'b7a6 c3c4 a6d6 f8e8 d1d5', 'g2g3 b5c4 b7a6 c3f3 a6d6']","['-0.10 (centipawns)', '-0.93 (centipawns)', '-3.37 (centipawns)']",c4b5
"8| r n b . r . . .
7| b p p . k N p p
6| . . . . . n . .
5| p . . . . . . .
4| . . B . P . . .
3| . . P . . . . .
2| P P . . . P P P
1| R N B . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 11","['e4e5 c8e6 e5f6 e7f7 c4e6', 'b1a3 c8e6 f7g5 e6c4 a3c4', 'f7g5 h7h6 g5f3 f6e4 c1f4', 'f7e5 e7f8 e5f3 e8e4 c4d3']","['2.75 (centipawns)', '2.54 (centipawns)', '2.18 (centipawns)', '1.73 (centipawns)']",e4e5
"8| . . . r k . r .
7| . q . b b p B p
6| p . p . . . . .
5| . . . . . . . .
4| B . . Q P . . .
3| . . . . . . . .
2| P P P . . P P P
1| . . . R . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 4
- Fullmove number: 17","['b7b4 d4b4 e7b4 g7e5 g8g6', 'h7h5 d4e5 d8c8 h2h3 b7b8', 'f7f6 g7f6 g8g2 g1h1 b7c7', 'd7g4 d4c3 d8c8 f2f3 g4e6']","['-4.79 (centipawns)', '-4.88 (centipawns)', '-5.01 (centipawns)', '-4.87 (centipawns)']",b7b4
"8| . . . . . r k .
7| p . . . n p . .
6| . . . . . . . .
5| . . . . . Q . P
4| . . q p . . . .
3| . . . . . R P .
2| P . . . . R . .
1| . . . . . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 32","['f5g5 g8h7 g5e7 c4c1 g1g2', 'f5g4 g8h7 g4e4 f7f5 e4e7']","['Mate in 12', '7.06 (centipawns)']",f5g5
"8| r . . . k b . r
7| . p p q . . p p
6| p . n . . . . n
5| . . . . p . . .
4| . . B p P . . .
3| . N P . . Q . P
2| P P . . . P P .
1| R . B . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 3
- Fullmove number: 12","['e8c8 c1d2 f8e7 c4d5 h8f8', 'h6g8 c1g5 g8f6 c3d4 e8c8', 'h6f7 c3d4 e5d4 c4d5 f8d6', 'd7e7 c1h6 g7h6 f3h5 e8d8']","['-2.38 (centipawns)', '-3.62 (centipawns)', '-2.32 (centipawns)', '-3.36 (centipawns)']",e8c8
"8| . . B . . . . .
7| p . . . . . . .
6| . p . . . . k .
5| . . . p . . p .
4| . . . P . . K .
3| . . . . . . . P
2| P P . . . . . .
1| . . . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 10
- Fullmove number: 41","['c8b7 a7a5 a2a4 g6f6 b7a6', 'g4g3 a7a5 c8d7 a5a4 g3g4', 'a2a4 g6f7 g4g5 f7e8 c8a6', 'c8d7 g6f7 g4g5 f7g8 d7b5']","['8.70 (centipawns)', '8.27 (centipawns)', '8.56 (centipawns)', '8.58 (centipawns)']",c8b7
"8| r . . . k r . .
7| . b . p . p . p
6| p . n . . . . .
5| . p . N . . Q p
4| . . . . P . . .
3| P q . . . . . .
2| . P . . . . P P
1| . . . . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 31","['d5c7', 'g5f6 a8c8 f1c1 d7d6 f6d6']","['Mate in 0', '0.00 (centipawns)']",d5c7
"8| r n b q k b n r
7| p p . p p p p p
6| . . . . . . . .
5| . . p . . . . .
4| . . . . . . . .
3| . . . . . . P .
2| P P P P P P B P
1| R N B Q K . N R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside, Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 2","['d7d5 g1f3 e7e6 d2d4 c5d4', 'b8c6 c2c4 g7g6 b1c3 f8g7', 'e7e5 c2c4 g7g6 b1c3 b8c6', 'g7g6 g1f3 b8c6 c2c4 f8g7']","['-0.22 (centipawns)', '-0.09 (centipawns)', '-0.36 (centipawns)', '-0.16 (centipawns)']",d7d5
