board,trajectories,evaluations,best_move
"8| . . k r . . . r
7| p p . q . p p .
6| . . p . n . . .
5| . . . p P . . p
4| P . . . n . . .
3| . Q P . . P P .
2| . P . B P . K P
1| R N . . . R . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 18","['h5h4 g3g4 e4g3 f1e1 d7c7', 'e4c5 b3c2 h5h4 g3g4 d7c7', 'e4d2 b1d2 h5h4 f3f4 h4g3', 'e6c5 b3c2 h5h4 g3g4 e4d2', 'e6g5 f3e4 d7h3 g2g1 h5h4']","['1.76 (centipawns)', '0.58 (centipawns)', '0.75 (centipawns)', '0.32 (centipawns)', '-1.70 (centipawns)']",h5h4
"8| r . . . . r k .
7| p b . n q . . p
6| . p p . p b p .
5| . . . . . . . .
4| . . . P N . . .
3| . . P . . N . .
2| P P . . Q . P P
1| R . B . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 4
- Fullmove number: 18","['c1f4 e6e5 e4f6 f8f6 f4g5', 'f1f2 g6g5 c1g5 f6g5 e4g5', 'a2a3 c6c5 e4f6 d7f6 c1h6', 'c1d2 c6c5 e4f6 d7f6 d2h6', 'e4f6 d7f6 c1h6 f6h5 h6f8', 'c1e3 c6c5 e4f6 d7f6 e3h6']","['3.83 (centipawns)', '3.12 (centipawns)', '3.18 (centipawns)', '3.07 (centipawns)', '3.54 (centipawns)', '3.17 (centipawns)']",c1f4
"8| . . . . . r k .
7| . Q . . . p p .
6| p . . p . . . p
5| . p . . . . . .
4| . . P . . . . .
3| . . q . . . . P
2| . . . . . P P .
1| . . . R . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 27","['c4b5 c3c2 d1a1 a6b5 b7b5', 'b7a6 c3c4 a6d6 f8e8 d1d4', 'b7b6 b5c4 b6a6 f8e8 a6d6', 'b7d5 b5b4 d1b1 f8e8 d5d6', 'g2g3 b5c4 d1d6 a6a5 b7c6']","['-0.31 (centipawns)', '-1.04 (centipawns)', '-3.31 (centipawns)', '-3.79 (centipawns)', '-3.01 (centipawns)']",c4b5
"8| r n b . r . . .
7| b p p . k N p p
6| . . . . . n . .
5| p . . . . . . .
4| . . B . P . . .
3| . . P . . . . .
2| P P . . . P P P
1| R N B . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 11","['b1a3 c8e6 f7g5 e6c4 a3c4', 'e4e5 c8e6 e5f6 e7f7 c4e6', 'f1e1 b7b5 c4b5 e7f7 b5e8', 'f7g5 h7h6 g5f3 f6e4 c1f4', 'f7e5 f6e4 b1d2 e4d6 c4d3', 'a2a4 c8e6 c4e6 e7e6 f7g5']","['2.55 (centipawns)', '2.73 (centipawns)', '1.35 (centipawns)', '2.33 (centipawns)', '1.91 (centipawns)', '1.89 (centipawns)']",b1a3
"8| . . . r k . r .
7| . q . b b p B p
6| p . p . . . . .
5| . . . . . . . .
4| B . . Q P . . .
3| . . . . . . . .
2| P P P . . P P P
1| . . . R . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 4
- Fullmove number: 17","['b7b4 d4b4 e7b4 g7e5 g8g4', 'd7g4 d4c3 d8c8 f2f3 g4e6', 'h7h6 d4c3 h6h5 d1d3 d8c8', 'f7f6 g7f6 g8g2 g1h1 b7c7', 'h7h5 d4e5 d8c8 d1d3 d7g4', 'd8b8 g7e5 b8c8 d4e3 g8g6']","['-4.79 (centipawns)', '-4.86 (centipawns)', '-5.47 (centipawns)', '-6.04 (centipawns)', '-4.83 (centipawns)', '-5.10 (centipawns)']",b7b4
"8| . . . . . r k .
7| p . . . n p . .
6| . . . . . . . .
5| . . . . . Q . P
4| . . q p . . . .
3| . . . . . R P .
2| P . . . . R . .
1| . . . . . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 32","['f5g5 e7g6 h5g6 f7f5 f3f5', 'f5e5 c4c1 f2f1 c1h6 e5e7', 'f5g4 g8h8 g4g5 f7f5 g5e7']","['Mate in 14', '6.38 (centipawns)', '7.24 (centipawns)']",f5g5
"8| r . . . k b . r
7| . p p q . . p p
6| p . n . . . . n
5| . . . . p . . .
4| . . B p P . . .
3| . N P . . Q . P
2| P P . . . P P .
1| R . B . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 3
- Fullmove number: 12","['e8c8 c1d2 f8e7 a1d1 c8b8', 'h6f7 c4d5 f8d6 f3g3 e8c8', 'd7d6 c3d4 d6g6 c1e3 f8d6', 'b7b5 c4d5 h6f7 f3f7 d7f7', 'f8d6 c1h6 g7h6 f3h5 e8d8', 'd4d3 c1h6 g7h6 f3h5 e8d8']","['-2.09 (centipawns)', '-2.28 (centipawns)', '-3.32 (centipawns)', '-4.39 (centipawns)', '-3.43 (centipawns)', '-4.12 (centipawns)']",e8c8
"8| . . B . . . . .
7| p . . . . . . .
6| . p . . . . k .
5| . . . p . . p .
4| . . . P . . K .
3| . . . . . . . P
2| P P . . . . . .
1| . . . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 10
- Fullmove number: 41","['c8b7 a7a5 a2a4 g6f6 b7a6', 'b2b3 g6f6 b3b4 f6g6 c8a6', 'c8f5 g6f6 f5d3 f6e7 g4g5', 'c8e6 g6f6 e6c8 f6g6 c8a6', 'g4g3 b6b5 b2b4 g6g7 g3g4', 'c8a6 g6f6 a6d3 f6e7 g4g5']","['8.70 (centipawns)', '8.67 (centipawns)', '9.08 (centipawns)', '9.13 (centipawns)', '9.31 (centipawns)', '9.58 (centipawns)']",c8b7
"8| r . . . k r . .
7| . b . p . p . p
6| p . n . . . . .
5| . p . N . . Q p
4| . . . . P . . .
3| P q . . . . . .
2| . P . . . . P P
1| . . . . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 31","['d5c7', 'g5f6 a8c8 f1c1 d7d6 f6d6', 'd5f6 e8d8 f6d5 d8c8 g5h6']","['Mate in 0', '0.00 (centipawns)', '0.00 (centipawns)']",d5c7
"8| r n b q k b n r
7| p p . p p p p p
6| . . . . . . . .
5| . . p . . . . .
4| . . . . . . . .
3| . . . . . . P .
2| P P P P P P B P
1| R N B Q K . N R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside, Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 2","['d7d5 g1f3 g8f6 e1g1 e7e6', 'g7g6 c2c4 b8c6 g1f3 f8g7', 'd8b6 c2c4 b8c6 b2b3 e7e6', 'e7e6 c2c4 g8f6 g1f3 b8c6', 'd8a5 e2e4 e7e6 g1e2 g8f6', 'b8c6 c2c4 g7g6 b1c3 f8g7']","['-0.26 (centipawns)', '-0.20 (centipawns)', '-0.70 (centipawns)', '-0.29 (centipawns)', '-0.72 (centipawns)', '-0.19 (centipawns)']",d7d5
"8| . . . . . k . .
7| . p . P . . p p
6| p b . p . . . .
5| P . . . p . . .
4| . P . . . . . .
3| . . . . . . . P
2| . . . P . P P .
1| . . . . . R . K
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 27","['b6d8 f1e1 f8e7 d2d4 e7d7', 'b6c7 f1c1 c7d8 c1c8 f8e7', 'd6d5 a5b6 f8e7 f1c1 e7d7', 'f8e7 a5b6 e7d7 f1c1 d6d5', 'b6a5 b4a5 f8e7 f1b1 e7d7']","['-4.38 (centipawns)', '-5.39 (centipawns)', '-7.96 (centipawns)', '-8.13 (centipawns)', '-8.05 (centipawns)']",b6d8
"8| . . . r . . . .
7| p k p . . . R .
6| . . . . . . . .
5| . p . . . p . .
4| . . b . . . . r
3| . . n . P . . .
2| . P . . . . . .
1| . . K . . . R .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 4
- Fullmove number: 28","['b2c3 d8d3 g7g2 d3c3 c1d2', 'c1c2 c3e4 g7g2 d8d3 g1a1', 'g1e1 c3e4 g7g2 d8d3 g2c2']","['-7.87 (centipawns)', '-9.54 (centipawns)', '-10.45 (centipawns)']",b2c3
"8| r . . q k . . r
7| p p . . b p p p
6| . . n . p n . .
5| . B p p . . . .
4| . . . . . P b .
3| . P . P P N . .
2| P B P . . . P P
1| R N . Q . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 8","['a8c8 h2h3 g4f3 d1f3 e8g8', 'g4h5 d1e1 d8b6 b5c6 b6c6', 'd8c8 b1d2 e8g8 b5c6 c8c6', 'e8g8 b5c6 b7c6 b1d2 a7a5', 'a7a5 a2a4 e8g8 b5c6 b7c6', 'd8b8 b5c6 b7c6 h2h3 g4f3']","['-0.23 (centipawns)', '-0.42 (centipawns)', '-0.35 (centipawns)', '-0.57 (centipawns)', '-0.50 (centipawns)', '-0.82 (centipawns)']",a8c8
"8| r . . . r k . .
7| p . b . . p . p
6| . p p . p . . .
5| . . P p . . . .
4| . . . . P . . .
3| . . N B R . . .
2| P P . . . P P P
1| . . . . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 21","['e4d5 c6d5 c3b5 c7d8 b2b4', 'c5b6 a7b6 e4d5 e6d5 e3e8', 'e3e1 b6c5 b2b3 a8b8 c3a4', 'e3f3 b6c5 b2b3 a8b8 g2g3', 'e3h3 b6c5 b2b3 e8b8 f2f4', 'c3a4 d5d4 e3h3 b6b5 f2f4']","['4.63 (centipawns)', '4.67 (centipawns)', '4.07 (centipawns)', '4.00 (centipawns)', '3.80 (centipawns)', '2.76 (centipawns)']",e4d5
"8| . r . . . . k .
7| . . . . . p . .
6| p . . . . . . p
5| . p . . . . p .
4| . . b . . . . .
3| . . B . . . P .
2| . . . . . P . P
1| R . . . . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 35","['a1a6 b8d8 f2f4 g8h7 f4g5', 'c3b2 b8a8 b2c3 g5g4 g1g2', 'h2h4 b5b4 c3e5 b8b5 e5f6']","['-0.62 (centipawns)', '-3.36 (centipawns)', '-3.50 (centipawns)']",a1a6
"8| r . . q . r k .
7| p p p . n p . p
6| . . . . . p b b
5| . . . P p . . .
4| . . B . P . . .
3| P . N . . . . P
2| . P . . N P P .
1| R . . Q . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 12","['f6f5 e4f5 e7f5 c4d3 f5d6', 'a8b8 g2g4 h6g5 e2g3 g8h8', 'g8h8 g2g4 e7c8 e2g3 c8d6', 'g8g7 g2g4 h6g5 e2g3 f8g8']","['0.77 (centipawns)', '-0.70 (centipawns)', '-0.48 (centipawns)', '-0.74 (centipawns)']",f6f5
"8| . . r . r . k .
7| . p p . . p p n
6| . p . p . n . p
5| . P . P . . . .
4| . . . . P . . B
3| P . . . . . . .
2| . . . N . P P P
1| R . . . R . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 21","['f6d7 f2f3 f7f5 e4f5 e8e1', 'f6h5 f2f3 h7f8 a3a4 f8d7', 'e8e7 f2f3 e7e8 d2c4 f6d7', 'g8h8 f2f3 f6d7 d2c4 h7f8', 'h7g5 f2f3 f6d7 a3a4 f7f6', 'g7g5 h4g3 f6d7 f2f3 f7f5']","['-0.09 (centipawns)', '-0.34 (centipawns)', '-0.84 (centipawns)', '-0.70 (centipawns)', '-0.53 (centipawns)', '-0.38 (centipawns)']",f6d7
"8| r . . . k b n r
7| p p . b . p p p
6| . . n . p . . .
5| . . p p . . . .
4| . . . P . . . .
3| P . P . P . P .
2| . q . B N P B P
1| R N . Q . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 9","['g8f6 c3c4 b2a1 c4d5 f6d5', 'b2a1 c3c4 g8f6 c4d5 e6d5', 'a7a6 c3c4 b2a1 c4d5 e6d5', 'f8e7 c3c4 b2a1 c4d5 e6d5', 'h7h5 c3c4 b2a1 c4d5 e6d5', 'g8h6 c3c4 b2a1 c4d5 e6d5']","['4.08 (centipawns)', '4.16 (centipawns)', '2.98 (centipawns)', '2.89 (centipawns)', '2.65 (centipawns)', '2.93 (centipawns)']",g8f6
"8| . . . . k . . r
7| . . . p . p . .
6| . . n . p . . .
5| . . . b P . p p
4| . . p P . . . .
3| P . . . . N . P
2| . . . . B P P .
1| . . . . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: Black can castle kingside.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 22","['g5g4 h3g4 h5g4 f3h2 c6d4', 'e8e7 f1d1 c4c3 f3e1 d5b3', 'e8f8 f1c1 f8e7 g1f1 g5g4', 'f7f5 f1c1 e8e7 f3g5 c6d4', 'h5h4 f1c1 e8e7 g1f1 h8c8', 'c6e7 f1c1 e7f5 e2c4 d5f3']","['3.89 (centipawns)', '3.15 (centipawns)', '2.16 (centipawns)', '2.15 (centipawns)', '2.85 (centipawns)', '0.77 (centipawns)']",g5g4
