board,trajectories,evaluations,best_move
"8| . . k r . . . r
7| p p . q . p p .
6| . . p . n . . .
5| . . . p P . . p
4| P . . . n . . .
3| . Q P . . P P .
2| . P . B P . K P
1| R N . . . R . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 18","['h5h4 g3g4 e4g3 f1f2 f7f5', 'e4d2 b1d2 h5h4 f3f4 h4g3']","['-1.59 (centipawns)', '-0.79 (centipawns)']",h5h4
"8| r . . . . r k .
7| p b . n q . . p
6| . p p . p b p .
5| . . . . . . . .
4| . . . P N . . .
3| . . P . . N . .
2| P P . . Q . P P
1| R . B . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 4
- Fullmove number: 18","['c1f4 e6e5 e4f6 d7f6 f3e5', 'c1h6 f6g7 h6g5 d7f6 f3e5', 'e4f6 d7f6 c1g5 c6c5 f3e5']","['3.85 (centipawns)', '4.12 (centipawns)', '4.17 (centipawns)']",c1f4
"8| . . . . . r k .
7| . Q . . . p p .
6| p . . p . . . p
5| . p . . . . . .
4| . . P . . . . .
3| . . q . . . . P
2| . . . . . P P .
1| . . . R . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 27","['c4b5 c3c2 d1a1 a6b5 b7b5', 'b7a6 c3c4 a6d6 f8c8 d1d4']","['-0.16 (centipawns)', '-0.80 (centipawns)']",c4b5
"8| r n b . r . . .
7| b p p . k N p p
6| . . . . . n . .
5| p . . . . . . .
4| . . B . P . . .
3| . . P . . . . .
2| P P . . . P P P
1| R N B . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 11","['e4e5 c8e6 c4e6 e7e6 e5f6', 'b1a3 c8e6 f7g5 e6c4 a3c4', 'f7g5 h7h6 g5f3 f6e4 c1f4']","['2.70 (centipawns)', '2.46 (centipawns)', '2.21 (centipawns)']",e4e5
"8| . . . r k . r .
7| . q . b b p B p
6| p . p . . . . .
5| . . . . . . . .
4| B . . Q P . . .
3| . . . . . . . .
2| P P P . . P P P
1| . . . R . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 4
- Fullmove number: 17","['f7f6 g7f6 g8g2 g1h1 b7c7', 'b7b4 d4b4 e7b4 g7f6 b4e7', 'b7c7 d4c3 a6a5 d1d3 d8c8', 'h7h5 d4e5 b7b4 g7f6 d8c8']","['5.29 (centipawns)', '4.59 (centipawns)', '5.24 (centipawns)', '4.98 (centipawns)']",f7f6
"8| . . . . . r k .
7| p . . . n p . .
6| . . . . . . . .
5| . . . . . Q . P
4| . . q p . . . .
3| . . . . . R P .
2| P . . . . R . .
1| . . . . . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 32","['f5g5 e7g6 g1h2 c4c7 f3f6', 'f5f6 c4b4 f6g5 g8h8 h5h6']","['11.23 (centipawns)', '8.55 (centipawns)']",f5g5
"8| r . . . k b . r
7| . p p q . . p p
6| p . n . . . . n
5| . . . . p . . .
4| . . B p P . . .
3| . N P . . Q . P
2| P P . . . P P .
1| R . B . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 3
- Fullmove number: 12","['e8c8 c1d2 f8e7 c4d5 h8f8', 'h6f7 c3d4 e5d4 c4d5 f8d6']","['2.34 (centipawns)', '2.33 (centipawns)']",e8c8
"8| . . B . . . . .
7| p . . . . . . .
6| . p . . . . k .
5| . . . p . . p .
4| . . . P . . K .
3| . . . . . . . P
2| P P . . . . . .
1| . . . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 10
- Fullmove number: 41","['c8f5 g6g7 g4g5 g7f7 b2b4', 'c8d7 g6f6 d7b5 f6e6 g4g5', 'c8e6 g6f6 e6f5 f6e7 g4g5', 'b2b4 g6f6 c8f5 a7a6 f5d3']","['9.95 (centipawns)', '10.78 (centipawns)', '15.19 (centipawns)', '15.00 (centipawns)']",c8f5
"8| r . . . k r . .
7| . b . p . p . p
6| p . n . . . . .
5| . p . N . . Q p
4| . . . . P . . .
3| P q . . . . . .
2| . P . . . . P P
1| . . . . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 31",['d5c7'],['Mate in 0'],d5c7
"8| r n b q k b n r
7| p p . p p p p p
6| . . . . . . . .
5| . . p . . . . .
4| . . . . . . . .
3| . . . . . . P .
2| P P P P P P B P
1| R N B Q K . N R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside, Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 2","['d7d5 g1f3 g8f6 e1g1 g7g6', 'b8c6 c2c4 g7g6 g1f3 f8g7', 'g8f6 c2c4 b8c6 b1c3 e7e6', 'g7g6 g1f3 f8g7 c2c4 b8c6']","['0.19 (centipawns)', '0.20 (centipawns)', '0.18 (centipawns)', '0.17 (centipawns)']",d7d5
