board,trajectories,evaluations,best_move
"8| . . k r . . . r
7| p p . q . p p .
6| . . p . n . . .
5| . . . p P . . p
4| P . . . n . . .
3| . Q P . . P P .
2| . P . B P . K P
1| R N . . . R . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 18","['h5h4 g3g4 e4g3 f1e1 d7c7', 'e4d2 b1d2 h5h4 f3f4 h4g3', 'e4c5 b3c2 d7c7 b2b4 h5h4']","['-1.64 (centipawns)', '-0.78 (centipawns)', '-0.78 (centipawns)']",h5h4
"8| r . . . . r k .
7| p b . n q . . p
6| . p p . p b p .
5| . . . . . . . .
4| . . . P N . . .
3| . . P . . N . .
2| P P . . Q . P P
1| R . B . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 4
- Fullmove number: 18","['c1f4 e6e5 e4f6 f8f6 f4g5', 'e4f6 d7f6 c1g5 a8e8 f3e5', 'c1e3 c6c5 e4f6 d7f6 e3h6', 'f1f2 f8f7 e4f6 e7f6 c1g5']","['3.50 (centipawns)', '4.08 (centipawns)', '2.98 (centipawns)', '3.54 (centipawns)']",c1f4
"8| . . . . . r k .
7| . Q . . . p p .
6| p . . p . . . p
5| . p . . . . . .
4| . . P . . . . .
3| . . q . . . . P
2| . . . . . P P .
1| . . . R . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 27","['c4b5 c3c2 d1a1 a6b5 b7b5', 'b7a6 c3c4 a6d6 f8e8 d1d5', 'b7e4 c3c4 e4c4 b5c4 d1d6']","['-0.10 (centipawns)', '-0.93 (centipawns)', '-3.64 (centipawns)']",c4b5
"8| r n b . r . . .
7| b p p . k N p p
6| . . . . . n . .
5| p . . . . . . .
4| . . B . P . . .
3| . . P . . . . .
2| P P . . . P P P
1| R N B . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 11","['e4e5 c8e6 e5f6 e7f7 c4e6', 'b1a3 c8e6 f7g5 e6c4 a3c4', 'f7g5 h7h6 g5f3 f6e4 c1f4', 'a2a4 f6e4 b1a3 b8a6 f7g5']","['2.75 (centipawns)', '2.54 (centipawns)', '2.18 (centipawns)', '1.95 (centipawns)']",e4e5
"8| . . . r k . r .
7| . q . b b p B p
6| p . p . . . . .
5| . . . . . . . .
4| B . . Q P . . .
3| . . . . . . . .
2| P P P . . P P P
1| . . . R . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 4
- Fullmove number: 17","['b7b4 d4b4 e7b4 g7e5 g8g6', 'd7g4 d4c3 d8c8 f2f3 g4e6', 'd7e6 d4c3 d8c8 d1d3 e7b4', 'd8c8 f1e1 d7g4 d1d3 b7b4']","['4.79 (centipawns)', '4.79 (centipawns)', '5.04 (centipawns)', '4.73 (centipawns)']",b7b4
"8| . . . . . r k .
7| p . . . n p . .
6| . . . . . . . .
5| . . . . . Q . P
4| . . q p . . . .
3| . . . . . R P .
2| P . . . . R . .
1| . . . . . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 32","['f5g5 g8h7 g5e7 c4c1 g1g2', 'f5g4 g8h7 g4e4 f7f5 e4e7']","['Mate in -12', '7.06 (centipawns)']",f5g5
"8| r . . . k b . r
7| . p p q . . p p
6| p . n . . . . n
5| . . . . p . . .
4| . . B p P . . .
3| . N P . . Q . P
2| P P . . . P P .
1| R . B . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 3
- Fullmove number: 12","['e8c8 c1d2 f8e7 c4d5 h8f8', 'h6f7 c3d4 e5d4 c4d5 f8d6', 'd7e7 c1h6 g7h6 f3h5 e8d8', 'f8d6 c1h6 g7h6 f3h5 e8d8']","['2.38 (centipawns)', '2.25 (centipawns)', '3.24 (centipawns)', '3.47 (centipawns)']",e8c8
"8| . . B . . . . .
7| p . . . . . . .
6| . p . . . . k .
5| . . . p . . p .
4| . . . P . . K .
3| . . . . . . . P
2| P P . . . . . .
1| . . . . . . . .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 10
- Fullmove number: 41","['c8b7 a7a5 a2a4 g6f6 b7a6', 'g4g3 a7a5 c8d7 a5a4 g3g4', 'c8a6 g6f6 a6b5 f6e6 g4g5', 'c8f5 g6f6 f5d3 f6e7 g4g5']","['8.70 (centipawns)', '8.27 (centipawns)', '8.73 (centipawns)', '8.90 (centipawns)']",c8b7
"8| r . . . k r . .
7| . b . p . p . p
6| p . n . . . . .
5| . p . N . . Q p
4| . . . . P . . .
3| P q . . . . . .
2| . P . . . . P P
1| . . . . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 31","['d5c7', 'g5f6 a8c8 f1c1 d7d6 f6d6']","['Mate in 0', '0.00 (centipawns)']",d5c7
"8| r n b q k b n r
7| p p . p p p p p
6| . . . . . . . .
5| . . p . . . . .
4| . . . . . . . .
3| . . . . . . P .
2| P P P P P P B P
1| R N B Q K . N R
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: White can castle kingside, White can castle queenside, Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 1
- Fullmove number: 2","['d7d5 g1f3 e7e6 d2d4 c5d4', 'g7g6 c2c4 b8c6 g1f3 f8g7', 'e7e6 c2c4 d7d5 c4d5 e6d5', 'e7e5 c2c4 g7g6 b1c3 f8g7']","['0.22 (centipawns)', '0.23 (centipawns)', '0.25 (centipawns)', '0.32 (centipawns)']",d7d5
"8| . . . . . k . .
7| . p . P . . p p
6| p b . p . . . .
5| P . . . p . . .
4| . P . . . . . .
3| . . . . . . . P
2| . . . P . P P .
1| . . . . . R . K
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 27","['b6d8 f1e1 f8e7 d2d4 e7d7', 'b6c7 f1c1 c7d8 c1c8 f8e7']","['4.35 (centipawns)', '5.41 (centipawns)']",b6d8
"8| . . . r . . . .
7| p k p . . . R .
6| . . . . . . . .
5| . p . . . p . .
4| . . b . . . . r
3| . . n . P . . .
2| . P . . . . . .
1| . . K . . . R .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 4
- Fullmove number: 28","['b2c3 d8d3 g1g2 d3c3 c1d2', 'g1g2 c3a2 c1c2 c4d3 c2d1']","['-7.97 (centipawns)', '-9.92 (centipawns)']",b2c3
"8| r . . q k . . r
7| p p . . b p p p
6| . . n . p n . .
5| . B p p . . . .
4| . . . . . P b .
3| . P . P P N . .
2| P B P . . . P P
1| R N . Q . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- Castling rights: Black can castle kingside, Black can castle queenside.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 8","['a8c8 h2h3 g4f3 d1f3 e8g8', 'd8d7 b1d2 a7a6 b5c6 d7c6', 'd8b6 b5c6 b6c6 b1d2 c6c7', 'd8d6 b1d2 e8g8 b5c6 d6c6']","['0.27 (centipawns)', '0.42 (centipawns)', '0.34 (centipawns)', '0.40 (centipawns)']",a8c8
"8| r . . . r k . .
7| p . b . . p . p
6| . p p . p . . .
5| . . P p . . . .
4| . . . . P . . .
3| . . N B R . . .
2| P P . . . P P P
1| . . . . . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 21","['e4d5 c6d5 c3b5 c7d8 c5c6', 'c5b6 a7b6 e4d5 c6d5 e3e2', 'e3h3 b6c5 b2b3 a8b8 c3a4', 'c3e2 b6c5 b2b3 e8b8 e4d5']","['4.68 (centipawns)', '4.66 (centipawns)', '3.94 (centipawns)', '3.74 (centipawns)']",e4d5
"8| . r . . . . k .
7| . . . . . p . .
6| p . . . . . . p
5| . p . . . . p .
4| . . b . . . . .
3| . . B . . . P .
2| . . . . . P . P
1| R . . . . . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is White’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 2
- Fullmove number: 35","['a1a6 b8d8 f2f4 g8h7 f4g5', 'c3e5 b8a8 e5c3 g5g4 c3b4']","['-0.68 (centipawns)', '-3.20 (centipawns)']",a1a6
"8| r . . q . r k .
7| p p p . n p . p
6| . . . . . p b b
5| . . . P p . . .
4| . . B . P . . .
3| P . N . . . . P
2| . P . . N P P .
1| R . . Q . R K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 12","['f6f5 f1e1 f5e4 e2g3 e4e3', 'g8g7 g2g4 h6g5 e2g3 f8g8']","['-0.92 (centipawns)', '0.71 (centipawns)']",f6f5
"8| . . r . r . k .
7| . p p . . p p n
6| . p . p . n . p
5| . P . P . . . .
4| . . . . P . . B
3| P . . . . . . .
2| . . . N . P P P
1| R . . . R . K .
   _ _ _ _ _ _ _ _
   A B C D E F G H

- It is Black’s turn to move.
- No castling rights available.
- No en passant target square.
- Halfmove clock: 0
- Fullmove number: 21","['f6d7 d2c4 g7g5 h4g3 f7f5', 'h7f8 h4f6 g7f6 d2f1 f8d7', 'e8f8 f2f3 f6d7 d2c4 c8a8', 'g7g5 h4g3 f6d7 f2f3 f7f5']","['-0.17 (centipawns)', '0.72 (centipawns)', '0.60 (centipawns)', '0.34 (centipawns)']",f6d7
